precio,cantidad,descuento,total_venta,categoria_producto,metodo_envio,direccion_cliente,detalle_pedido,comentarios_cliente,descripcion_producto
1102.6,5,0.01,2411.07,Deportes,Express,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 90015}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",precio lento precio excelente calidad lento malo defectuoso precio calidad,lento recomendado recomendado lento calidad malo calidad malo rápido precio defectuoso recomendado precio precio
831.0,4,0.05,935.3,Hogar,Express,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 37066}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",excelente excelente defectuoso excelente precio recomendado lento lento calidad calidad excelente,precio lento malo lento malo defectuoso precio precio malo excelente calidad
476.46,7,0.2,2052.92,Ropa,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 63281}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",malo excelente excelente defectuoso recomendado rápido excelente precio precio malo,excelente recomendado excelente lento calidad rápido precio defectuoso rápido lento
62.65,5,0.23,3864.49,Electrónica,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 98708}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",lento excelente malo defectuoso calidad calidad recomendado calidad precio excelente malo,malo rápido excelente defectuoso lento
284.85,5,0.01,4702.68,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 92530}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",calidad rápido rápido calidad precio lento rápido excelente malo rápido malo excelente,rápido precio precio rápido defectuoso lento malo recomendado precio lento rápido excelente
1933.5,6,0.2,985.67,Electrónica,Express,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 27060}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",precio lento calidad calidad defectuoso rápido malo malo precio malo precio excelente lento rápido,calidad calidad rápido defectuoso calidad recomendado rápido calidad calidad lento precio recomendado defectuoso
1664.77,1,0.11,1749.73,Ropa,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 48400}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",recomendado malo recomendado recomendado precio precio recomendado recomendado rápido lento recomendado,rápido lento malo excelente malo recomendado precio excelente precio recomendado rápido excelente rápido
219.49,8,0.27,2523.25,Ropa,Express,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 19401}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",precio lento recomendado malo calidad excelente lento,precio malo recomendado defectuoso precio excelente rápido lento
1674.55,4,0.17,4722.24,Ropa,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 93865}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",recomendado malo recomendado calidad precio lento precio rápido malo rápido excelente calidad excelente,calidad recomendado recomendado calidad rápido
1630.55,5,0.03,2807.21,Ropa,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 34961}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",rápido recomendado recomendado lento excelente malo,rápido malo calidad defectuoso precio precio malo excelente calidad calidad calidad rápido malo lento excelente
219.46,4,0.1,2320.22,Electrónica,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 86059}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",rápido recomendado calidad excelente recomendado lento calidad recomendado calidad excelente,defectuoso precio lento calidad defectuoso rápido
412.62,7,0.19,3069.62,Deportes,Express,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 89998}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",recomendado malo calidad excelente lento rápido,malo calidad excelente defectuoso recomendado malo calidad
968.77,4,0.22,3281.2,Electrónica,Express,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 92751}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",excelente precio lento excelente lento recomendado malo calidad,malo calidad calidad recomendado rápido calidad defectuoso malo lento
1784.54,5,0.07,2537.56,Deportes,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 64909}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",rápido malo recomendado defectuoso precio malo excelente excelente defectuoso,recomendado recomendado lento excelente defectuoso rápido defectuoso
812.95,4,0.14,2880.2,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 54185}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",excelente defectuoso precio lento calidad malo malo lento lento,excelente defectuoso malo calidad precio recomendado excelente calidad calidad rápido lento precio
1429.22,2,0.17,2637.62,Hogar,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 79633}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",lento calidad excelente calidad precio recomendado precio calidad excelente malo,calidad lento malo defectuoso precio lento defectuoso malo recomendado precio malo defectuoso defectuoso
452.7,4,0.18,3516.05,Electrónica,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 27027}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",excelente precio lento rápido malo lento calidad calidad malo,recomendado malo calidad calidad recomendado rápido malo
1248.9,5,0.12,2700.64,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 47650}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",precio recomendado precio rápido defectuoso calidad excelente rápido excelente recomendado malo excelente malo,excelente excelente recomendado rápido malo
1823.85,3,0.0,2965.2,Ropa,Estándar,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 89710}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",rápido rápido precio precio precio rápido calidad lento,recomendado rápido precio defectuoso rápido
983.41,5,0.16,3660.0,Electrónica,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 54871}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",rápido recomendado recomendado precio lento rápido calidad malo,rápido malo precio defectuoso recomendado lento rápido malo rápido recomendado lento lento
787.92,1,0.16,1311.09,Hogar,Estándar,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 37511}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",defectuoso rápido precio recomendado precio precio excelente recomendado,lento recomendado malo excelente malo rápido defectuoso rápido excelente precio
1885.14,4,0.23,1637.94,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 50758}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",defectuoso calidad malo precio excelente lento malo,precio precio lento recomendado excelente recomendado defectuoso recomendado recomendado recomendado
454.03,3,0.17,3019.97,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 31098}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",lento lento excelente excelente excelente excelente recomendado excelente recomendado defectuoso calidad calidad lento calidad excelente,recomendado defectuoso calidad malo rápido malo precio precio excelente
1474.69,1,0.14,4477.06,Ropa,Estándar,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 93537}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",excelente malo defectuoso rápido defectuoso excelente excelente,excelente defectuoso precio lento recomendado lento excelente recomendado rápido malo defectuoso calidad malo calidad defectuoso
1475.97,4,0.18,2601.84,Electrónica,Express,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 87310}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",recomendado rápido precio precio malo defectuoso recomendado excelente calidad excelente defectuoso excelente,calidad lento defectuoso excelente excelente lento calidad excelente malo recomendado rápido excelente
1099.07,9,0.21,1402.41,Ropa,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 89183}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",precio malo rápido rápido defectuoso,lento calidad precio recomendado recomendado lento
828.99,9,0.09,509.41,Deportes,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 16185}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",malo malo lento defectuoso calidad precio rápido malo defectuoso recomendado excelente lento rápido defectuoso,calidad precio rápido precio precio recomendado calidad calidad defectuoso precio lento malo lento recomendado
78.07,8,0.21,1857.06,Electrónica,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 42461}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",recomendado rápido lento lento rápido lento precio calidad malo,precio malo malo lento defectuoso excelente malo defectuoso precio lento malo
1625.43,1,0.05,3346.34,Deportes,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Querétaro', 'codigo_postal': 41596}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",calidad defectuoso defectuoso lento defectuoso recomendado precio precio defectuoso recomendado rápido excelente,defectuoso rápido lento lento malo malo rápido lento defectuoso calidad defectuoso
1135.52,8,0.24,2188.02,Electrónica,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 31716}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",recomendado calidad excelente calidad rápido malo rápido precio malo,rápido calidad malo calidad defectuoso rápido defectuoso precio precio recomendado recomendado defectuoso defectuoso
293.91,9,0.26,3590.07,Hogar,Express,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 16516}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",lento lento recomendado rápido excelente excelente calidad defectuoso malo malo precio rápido defectuoso rápido,recomendado excelente defectuoso recomendado lento excelente precio lento lento
409.45,1,0.16,3561.32,Hogar,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Querétaro', 'codigo_postal': 70486}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",defectuoso excelente rápido calidad excelente malo excelente calidad precio recomendado excelente,rápido defectuoso precio rápido malo excelente precio
311.58,4,0.08,297.04,Deportes,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 14417}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",excelente recomendado rápido calidad lento defectuoso recomendado malo recomendado rápido,recomendado recomendado rápido excelente calidad precio excelente rápido precio malo precio defectuoso calidad excelente calidad
808.09,6,0.18,3868.0,Electrónica,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 26449}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",calidad malo lento calidad defectuoso precio,recomendado excelente malo excelente excelente calidad excelente lento calidad precio
154.35,9,0.06,1932.07,Hogar,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 76985}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",precio rápido calidad lento defectuoso rápido defectuoso rápido rápido calidad precio,excelente defectuoso defectuoso defectuoso rápido malo excelente defectuoso defectuoso
1865.63,8,0.12,331.81,Electrónica,Estándar,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 32477}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",rápido precio excelente precio calidad excelente calidad defectuoso,recomendado malo excelente calidad defectuoso lento malo recomendado precio malo malo precio recomendado
729.44,2,0.27,2801.61,Deportes,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Querétaro', 'codigo_postal': 25098}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",excelente lento recomendado rápido defectuoso rápido excelente malo defectuoso,lento malo defectuoso lento malo malo recomendado malo defectuoso recomendado defectuoso
899.85,1,0.05,750.98,Deportes,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 85626}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",lento excelente defectuoso calidad rápido lento recomendado calidad recomendado,defectuoso defectuoso recomendado rápido defectuoso lento recomendado defectuoso precio
1272.78,8,0.18,2642.76,Electrónica,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 69276}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",excelente calidad calidad malo rápido defectuoso malo,rápido precio precio lento lento excelente precio precio malo lento calidad precio
876.31,4,0.28,2758.72,Ropa,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 27454}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",precio precio lento calidad calidad precio calidad excelente malo lento recomendado malo recomendado lento,precio defectuoso calidad calidad calidad recomendado rápido recomendado excelente
276.14,8,0.12,3482.23,Deportes,Estándar,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 72494}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",rápido lento recomendado defectuoso excelente precio recomendado precio excelente rápido recomendado precio precio,lento precio precio lento recomendado defectuoso lento defectuoso
1054.87,3,0.28,4612.52,Deportes,Express,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 87612}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",lento defectuoso recomendado malo defectuoso excelente excelente lento calidad lento excelente precio precio lento,defectuoso recomendado precio malo lento rápido calidad lento
1184.34,1,0.18,824.99,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 67603}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",lento defectuoso precio lento excelente lento defectuoso excelente,lento calidad defectuoso defectuoso calidad malo defectuoso
1512.47,2,0.29,2621.87,Hogar,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 51277}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",defectuoso malo recomendado malo recomendado rápido lento calidad malo recomendado recomendado lento malo rápido calidad,defectuoso rápido excelente calidad precio defectuoso defectuoso calidad lento excelente
1098.11,2,0.18,2910.97,Deportes,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 77728}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",malo excelente malo lento lento excelente rápido rápido rápido excelente rápido rápido,malo calidad recomendado excelente defectuoso malo defectuoso lento rápido calidad calidad calidad malo precio
769.19,4,0.14,4662.51,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 67481}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",defectuoso rápido defectuoso lento recomendado recomendado malo excelente calidad precio rápido precio precio calidad recomendado,recomendado calidad rápido lento excelente defectuoso excelente defectuoso rápido malo lento
802.29,1,0.29,3126.26,Electrónica,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 88581}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",malo recomendado precio defectuoso defectuoso defectuoso defectuoso precio excelente lento recomendado precio calidad excelente recomendado,calidad defectuoso malo recomendado calidad malo malo precio defectuoso calidad rápido excelente calidad calidad defectuoso
261.34,1,0.22,3319.49,Electrónica,Express,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 58052}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",recomendado defectuoso rápido defectuoso calidad rápido malo lento,malo lento calidad recomendado calidad defectuoso excelente calidad lento calidad recomendado
95.42,6,0.18,3637.74,Ropa,Express,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 33580}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",recomendado malo calidad malo recomendado malo rápido precio defectuoso lento defectuoso defectuoso,calidad precio rápido lento excelente defectuoso recomendado malo excelente calidad calidad
1120.65,1,0.07,609.13,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 51525}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",malo precio malo calidad calidad defectuoso calidad precio,recomendado recomendado calidad recomendado recomendado precio rápido recomendado rápido excelente excelente excelente lento lento lento
55.54,7,0.26,1596.22,Hogar,Express,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 67413}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",calidad precio calidad precio recomendado defectuoso calidad recomendado calidad excelente precio precio lento excelente,lento recomendado defectuoso precio lento precio defectuoso lento malo lento calidad malo excelente malo
1224.71,3,0.12,4849.2,Deportes,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 27912}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",defectuoso lento defectuoso calidad rápido malo lento malo rápido precio,lento rápido defectuoso lento defectuoso recomendado lento rápido lento rápido
724.38,8,0.24,1052.47,Ropa,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 88720}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",recomendado recomendado excelente defectuoso precio lento malo excelente lento rápido rápido calidad calidad,defectuoso excelente calidad malo rápido recomendado excelente rápido malo rápido
1597.81,9,0.17,539.85,Deportes,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'Querétaro', 'codigo_postal': 26958}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",recomendado recomendado calidad malo rápido malo calidad lento,defectuoso recomendado precio recomendado calidad precio precio rápido malo lento defectuoso excelente calidad
1304.41,2,0.0,4470.29,Ropa,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 66742}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",defectuoso calidad lento excelente lento lento recomendado defectuoso malo excelente excelente recomendado,defectuoso rápido recomendado calidad precio excelente recomendado
1703.6,5,0.12,191.89,Ropa,Express,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 28600}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",defectuoso lento excelente precio calidad recomendado malo defectuoso calidad,precio excelente defectuoso recomendado recomendado precio malo rápido malo
1182.73,9,0.04,2409.33,Electrónica,Express,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 16097}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",defectuoso precio excelente lento calidad precio malo lento lento excelente,calidad lento recomendado rápido malo calidad recomendado excelente malo defectuoso excelente rápido lento defectuoso
1160.25,9,0.06,1585.68,Deportes,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 38457}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",rápido malo rápido recomendado malo,defectuoso recomendado lento recomendado rápido
1858.56,8,0.07,556.3,Deportes,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 59857}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",excelente recomendado precio recomendado calidad recomendado recomendado precio lento,rápido lento defectuoso rápido recomendado defectuoso rápido malo lento precio malo rápido calidad defectuoso
1815.54,6,0.3,828.87,Hogar,Express,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 53753}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",recomendado defectuoso lento recomendado excelente calidad rápido excelente malo calidad calidad malo,precio malo rápido malo lento lento precio precio calidad lento calidad rápido
356.93,2,0.21,3417.96,Ropa,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 94317}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",lento precio rápido excelente calidad recomendado defectuoso rápido defectuoso malo rápido lento,defectuoso recomendado defectuoso defectuoso precio recomendado recomendado lento malo defectuoso
420.3,1,0.05,942.57,Hogar,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 53932}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",rápido excelente recomendado calidad calidad lento lento,rápido lento lento lento precio rápido calidad
217.37,1,0.09,212.87,Deportes,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 47875}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",excelente lento excelente defectuoso lento excelente precio rápido lento lento precio,calidad defectuoso lento excelente defectuoso malo rápido
1905.25,1,0.17,2605.1,Electrónica,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 34527}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",lento lento defectuoso precio calidad lento recomendado malo rápido malo excelente recomendado lento calidad malo,recomendado calidad lento calidad excelente defectuoso calidad recomendado malo rápido calidad malo calidad
545.25,5,0.04,4162.44,Ropa,Express,"{'calle': 'Calle Norte', 'ciudad': 'Monterrey', 'codigo_postal': 41357}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",precio precio defectuoso malo malo rápido precio precio recomendado calidad,recomendado rápido calidad recomendado malo excelente precio excelente defectuoso
1797.77,4,0.03,4211.62,Ropa,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 16037}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",defectuoso lento rápido recomendado recomendado precio calidad defectuoso precio calidad excelente defectuoso recomendado calidad calidad,excelente malo precio malo rápido recomendado calidad excelente
629.1,8,0.27,2999.22,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 52838}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",malo excelente rápido malo lento defectuoso excelente recomendado rápido precio calidad recomendado malo precio lento,excelente recomendado excelente precio calidad lento rápido rápido calidad precio recomendado recomendado precio
1896.26,6,0.01,3529.78,Deportes,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 31645}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",lento lento malo lento lento excelente excelente recomendado defectuoso lento defectuoso malo defectuoso,precio calidad calidad excelente rápido recomendado excelente recomendado rápido malo malo malo
320.7,8,0.28,1970.86,Ropa,Estándar,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 92175}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",calidad defectuoso defectuoso calidad calidad excelente precio malo recomendado calidad,lento malo rápido malo precio defectuoso defectuoso
449.13,6,0.28,3906.41,Deportes,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Querétaro', 'codigo_postal': 82765}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",recomendado precio recomendado lento defectuoso excelente precio defectuoso malo excelente recomendado recomendado calidad malo lento,recomendado precio recomendado recomendado lento rápido
1265.99,9,0.23,4228.74,Hogar,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'Querétaro', 'codigo_postal': 85961}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",lento malo malo recomendado malo lento calidad,excelente defectuoso precio malo recomendado recomendado defectuoso
203.42,8,0.14,3379.11,Deportes,Express,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 72096}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",precio excelente excelente calidad calidad rápido defectuoso recomendado lento recomendado defectuoso rápido rápido,lento excelente malo calidad malo rápido precio lento recomendado
1681.45,1,0.23,872.66,Hogar,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 27115}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",rápido precio rápido recomendado excelente lento calidad defectuoso excelente defectuoso calidad lento,malo rápido recomendado excelente recomendado precio recomendado
